INSTNM,CITY,STABBR,ZIP,ADM_RATE_ALL,ADMCON7,SAT_AVG,ACTCM25,ACTCM75,OPENADMP,PCTFLOAN_DCS,PCTPELL_DCS,FTFTPCTFLOAN,UGDS,UGDS_MEN,UGDS_WOMEN,UG25ABV,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,PAR_ED_PCT_1STGEN,FAMINC,MD_FAMINC,PCT_BORN_US,UNEMP_RATE,COSTT4_A,COSTT4_P
University of Hawaii Maui College,Kahului,HI,96732-1617,,,,,,1.0,0.0595,0.3593,0.0259,1636.0,0.3399,0.6601,0.3366,0.1504,0.0073,0.151,0.3142,0.0024,0.0642,0.2738,0.0257,0.011,9500,7400,0.4984552008,27984.201818,21722,83.7300033569336,3.52999997138977,14862.0,
University of Hawaii-West Oahu,Kapolei,HI,96707-4507,0.96369636963696,5.0,1033.0,16.0,22.0,2.0,0.2467,0.3504,0.1848,2491.0,0.3485,0.6515,0.3979,0.0807,0.0181,0.1538,0.3649,0.0012,0.0446,0.3284,0.006,0.0024,11587,12315,0.4253597122,39991.050239,28758,81.6800003051757,3.82999992370605,15528.0,
Windward Community College,Kaneohe,HI,96744-3528,,,,,,1.0,0.0321,0.3025,0.0292,1009.0,0.3518,0.6482,0.3571,0.1229,0.0109,0.1913,0.1526,0.001,0.1021,0.3925,0.003,0.0238,7924,5500,0.4803548796,31389.72101,21000,88.0800018310547,3.78999996185302,15128.0,
Carrington College-Boise,Boise,ID,83704-8742,,,,,,1.0,0.6255,0.46,0.7957,403.0,0.139,0.861,0.6115,0.4739,0.0273,0.3275,0.0596,0.0099,0.0074,0.005,0.005,0.0844,10542,15908,0.4888457808,33371.566613,24244.5,92.8799972534179,3.36999988555908,,
Boise Bible College,Boise,ID,83714-1220,1.0,5.0,950.0,,,2.0,0.3258,0.573,0.4444,95.0,0.5579,0.4421,0.2472,0.8842,0.0421,0.0316,0.0,0.0,0.0105,0.0,0.0211,0.0105,PS,PS,PS,48869.813333,45930,94.3000030517578,3.88000011444091,25426.0,
Boise State University,Boise,ID,83725,0.83929740994343,3.0,,,,2.0,0.3483,0.2522,0.3618,16979.0,0.4314,0.5686,0.177,0.7192,0.0166,0.1475,0.0269,0.0036,0.0043,0.0533,0.0078,0.0207,14718,12500,0.3347085202,62341.39584,42915,93.1999969482422,3.35999989509582,23497.0,
College of Eastern Idaho,Idaho Falls,ID,83404-5788,,,,,,1.0,0.2678,0.4696,0.2618,1317.0,0.3569,0.6431,0.2639,0.7122,0.0106,0.1967,0.0053,0.0114,0.0046,0.0213,0.003,0.0349,8250,5819,0.4095477387,33411.857461,25579,94.7900009155273,3.44000005722045,13067.0,
Idaho State University,Pocatello,ID,83209,,,,,,1.0,0.3743,0.4104,0.2926,6830.0,0.4007,0.5993,0.2112,0.7221,0.0152,0.1492,0.0122,0.0164,0.0047,0.0337,0.0202,0.0264,12500,12500,0.360585723,47397.302112,35747.5,94.870002746582,3.90000009536743,20725.0,
University of Idaho,Moscow,ID,83844-2282,0.73852012245202,5.0,1129.0,20.0,27.0,2.0,0.3756,0.311,0.351,7120.0,0.4999,0.5001,0.0914,0.7493,0.0111,0.107,0.0162,0.0091,0.0018,0.044,0.0483,0.0132,15734,15913,0.3178761062,59886.374211,45018,93.9400024414062,4.23999977111816,22108.0,
The College of Idaho,Caldwell,ID,83605-4432,0.45523385300668,5.0,1175.0,23.0,29.0,2.0,0.4718,0.2413,0.5085,1052.0,0.4952,0.5048,0.0143,0.5485,0.0209,0.1397,0.019,0.0076,0.0067,0.058,0.1797,0.02,19000,13750,0.2680722892,76542.144044,63773,92.0999984741211,3.60999989509582,47926.0,
Lewis-Clark State College,Lewiston,ID,83501-2698,0.86769933976637,5.0,940.0,,,2.0,0.4083,0.3669,0.4079,2344.0,0.3652,0.6348,0.2265,0.7709,0.0132,0.09,0.006,0.0188,0.0034,0.055,0.0188,0.0239,10832,11750,0.4047013977,43630.445083,31207,96.2300033569336,4.09999990463256,17295.0,
Aveda Institute-Twin Falls,Twin Falls,ID,83301,,,,,,1.0,0.6169,0.5455,0.7895,87.0,0.1379,0.8621,0.4111,0.6322,0.023,0.3333,0.0115,0.0,0.0,0.0,0.0,0.0,PS,PS,PS,24208.792208,16061,91.1600036621093,3.60999989509582,,20700.0
North Idaho College,Coeur d'Alene,ID,83814-2199,,,,,,1.0,0.2761,0.3795,0.2692,2732.0,0.3701,0.6299,0.2708,0.7859,0.011,0.0816,0.0121,0.0146,0.0044,0.052,0.0059,0.0326,5500,5333,0.4171505136,36993.498395,27566,96.5999984741211,4.98999977111816,11778.0,
Northwest Nazarene University,Nampa,ID,83686-5897,0.88185032410135,5.0,1139.0,19.0,27.0,2.0,0.6212,0.3093,0.6593,1115.0,0.4368,0.5632,0.2268,0.748,0.0179,0.1336,0.0126,0.0063,0.0045,0.0655,0.0063,0.0054,17250,16500,0.3388429752,62125.035439,51227,91.5899963378906,3.85999989509582,46897.0,
Nathan Layne Institute of Cosmetology,Chubbuck,ID,83202,,,,,,1.0,0.5244,0.5244,0.6154,60.0,0.1333,0.8667,0.4419,0.75,0.0,0.2,0.0,0.05,0.0,0.0,0.0,0.0,PS,PS,PS,20193.5,11456.5,96.1100006103515,4.3600001335144,,22298.0
Brigham Young University-Idaho,Rexburg,ID,83460-1690,0.9555859909998,5.0,1107.0,19.0,25.0,2.0,0.122,0.2669,0.1469,42213.0,0.4379,0.5621,0.4321,0.6356,0.0274,0.1879,0.0143,0.0022,0.0071,0.0192,0.035,0.0711,9215,8250,0.2434898308,52778.436134,42100,93.0899963378906,3.61999988555908,12807.0,
College of Southern Idaho,Twin Falls,ID,83301,,,,,,1.0,0.1462,0.4377,0.1392,3531.0,0.35,0.65,0.1552,0.6103,0.0176,0.2917,0.0105,0.0065,0.0025,0.0221,0.0229,0.0159,5638,4954,0.4159021407,35992.468944,30300,91.8499984741211,3.67000007629394,12340.0,
Adler University,Chicago,IL,60602,,,,,,,,,,9.0,1.0,0.0,,0.5556,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,PS,PS,,,,PS,PS,,
American Academy of Art College,Chicago,IL,60604-4302,,,,,,1.0,0.8138,0.5793,0.8947,111.0,0.4054,0.5946,0.1172,0.3964,0.1441,0.3604,0.0631,0.0,0.0,0.036,0.0,0.0,26982,27000,0.375,54148.781457,41179,82.9300003051757,3.98000001907348,44105.0,
American Islamic College,Chicago,IL,60613,1.0,5.0,,,,2.0,0.0,0.0,0.0,5.0,0.6,0.4,0.6667,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
School of the Art Institute of Chicago,Chicago,IL,60603,0.78962962962962,3.0,,,,2.0,0.3695,0.1905,0.4003,2819.0,0.2487,0.7513,0.0626,0.3537,0.0436,0.1132,0.1032,0.0021,0.0004,0.0433,0.3012,0.0394,20701,18495,0.212636695,81855.588978,50784,85.3399963378906,3.40000009536743,72278.0,
Augustana College,Rock Island,IL,61201-2296,0.61220387652548,5.0,1145.0,21.0,28.0,2.0,0.606,0.2167,0.5648,2274.0,0.4538,0.5462,0.009,0.6073,0.0387,0.1288,0.0281,0.0009,0.0,0.0356,0.1486,0.0119,26000,26000,0.2224352828,101517.56354,90216,91.8000030517578,2.90000009536743,59262.0,
Aurora University,Aurora,IL,60506-4892,0.81895961670089,5.0,1087.0,19.0,25.0,2.0,0.5846,0.445,0.5645,3987.0,0.3298,0.6702,0.1291,0.4046,0.0599,0.3958,0.0356,0.002,0.0005,0.0251,0.0073,0.0692,15750,15000,0.4569466455,60291.360663,45293,89.2399978637695,3.28999996185302,38012.0,
Southwestern Illinois College,Belleville,IL,62221-5899,,,,,,1.0,0.1276,0.3228,0.1145,5293.0,0.4302,0.5698,0.3438,0.5891,0.2241,0.0646,0.0113,0.0019,0.0011,0.0603,0.0079,0.0397,4000,4000,0.428874092,31271.154229,21868,97.1600036621094,4.23000001907348,11885.0,
Bethany Theological Seminary,Richmond,IN,47374-4019,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,PS,PS,PS,PS,,
Black Hawk College,Moline,IL,61265-5899,,,,,,1.0,0.1127,0.445,0.1077,2202.0,0.3683,0.6317,0.2353,0.6231,0.1163,0.1717,0.0263,0.0014,0.0005,0.0377,0.005,0.0182,5000,5500,0.4424615385,35157.18534,25847.5,95.7799987792968,3.80999994277954,11481.0,
Blackburn College,Carlinville,IL,62626,0.64367816091954,5.0,,,,2.0,0.7655,0.5979,0.6842,342.0,0.4591,0.5409,0.0894,0.807,0.0702,0.0789,0.0029,0.0,0.0,0.0292,0.0,0.0117,15000,14500,0.4395604396,41564.886473,29508.5,97.2300033569336,3.38000011444091,35726.0,
Blessing Rieman College of Nursing and Health Sciences,Quincy,IL,62305-7005,,,,,,,0.4539,0.3333,,151.0,0.1192,0.8808,0.2766,0.9205,0.0265,0.0,0.0199,0.0,0.0066,0.0066,0.0,0.0199,10246,11250,0.3700787402,55160.453901,39159,96.7200012207031,3.27999997138977,,
Bradley University,Peoria,IL,61625-0001,0.7514094432699,5.0,1208.0,24.0,30.0,2.0,0.6446,0.3019,0.6853,4133.0,0.4914,0.5086,0.0222,0.648,0.0881,0.1379,0.0443,0.0022,0.0005,0.0341,0.022,0.023,23000,23625,0.2360436893,92115.841379,79479,92.1500015258789,2.96000003814697,50881.0,
Paul Mitchell the School-Tinley Park,Tinley Park,IL,60477-6273,,,,,,1.0,0.4562,0.5317,0.875,229.0,0.048,0.952,0.4643,0.4672,0.3712,0.1135,0.0044,0.0087,0.0,0.0131,0.0044,0.0175,7917,7917,0.5298013245,34935.136872,21662.5,94.9599990844726,3.36999988555908,,26426.0
Cameo Beauty Academy,Oak Lawn,IL,60453,,,,,,1.0,0.5988,0.6914,0.8947,100.0,0.04,0.96,0.4052,0.18,0.68,0.13,0.0,0.0,0.0,0.0,0.01,0.0,PS,PS,0.4693877551,24815.690265,10615,84.25,3.84999990463256,,19596.0
Cannella School of Hair Design-Villa Park,Villa Park,IL,60181,,,,,,1.0,0.2069,0.4138,1.0,31.0,0.0645,0.9355,0.8,0.0645,0.0,0.7097,0.0,0.0,0.0,0.0,0.0,0.2258,PS,PS,PS,20532.791667,19546.5,76.6699981689453,3.1800000667572,,14339.0
Cannella School of Hair Design-Chicago,Chicago,IL,60617-4303,,,,,,1.0,0.3333,0.3333,0.75,29.0,0.0,1.0,0.5625,0.1034,0.069,0.7586,0.0,0.0,0.0,0.0,0.0,0.069,PS,PS,0.4651162791,11752.826087,10144,91.5299987792968,7.80000019073486,,14730.0
Cannella School of Hair Design-Chicago,Chicago,IL,60632-2549,,,,,,1.0,0.3404,0.8085,0.6154,39.0,0.0513,0.9487,0.4359,0.0,0.1026,0.8974,0.0,0.0,0.0,0.0,0.0,0.0,PS,PS,0.7317073171,20953.948718,17675.5,66.5899963378906,5.71000003814697,,13752.0
Capri Beauty College,Oak Forest,IL,60452,,,,,,1.0,0.6857,0.6429,0.8,51.0,0.0196,0.9804,0.2553,0.4118,0.5098,0.0588,0.0,0.0,0.0,0.0,0.0196,0.0,PS,PS,0.4511278195,59840.355263,35881,92.7799987792968,3.41000008583068,,19905.0
Carl Sandburg College,Galesburg,IL,61401,,,,,,1.0,0.2338,0.6958,0.0614,1107.0,0.3487,0.6513,0.2004,0.6784,0.1057,0.131,0.0117,0.0009,0.0,0.0551,0.0,0.0172,3500,3500,0.4262857143,27726.343284,21982,98.2699966430664,3.92000007629394,11440.0,
Catholic Theological Union at Chicago,Chicago,IL,60615-5698,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,PS,PS,,,,
Midwestern University-Downers Grove,Downers Grove,IL,60515-5514,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,PS,PS,89.5400009155273,3.05999994277954,,
The Chicago School at Chicago,Chicago,IL,60654,0.32394366197183,5.0,,,,2.0,0.8,0.4,,34.0,0.2059,0.7941,0.5,0.2647,0.1176,0.4706,0.0588,0.0294,0.0,0.0294,0.0,0.0294,9500,12000,0.4642857143,31396.256158,18495,PS,PS,,
Chicago State University,Chicago,IL,60628-1598,0.48514316585629,5.0,,,,2.0,0.6798,0.6362,0.5102,1364.0,0.324,0.676,0.4953,0.022,0.75,0.0689,0.0088,0.0051,0.0,0.0147,0.0389,0.0916,21735,19250,0.4202453988,21800.619641,15134,90.7200012207031,7.5,21961.0,
Chicago Theological Seminary,Chicago,IL,60637,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,PS,PS,,,,
University of Chicago,Chicago,IL,60637,0.05434145301423,5.0,1532.0,34.0,35.0,2.0,0.0531,0.1307,0.057,7511.0,0.5312,0.4688,0.0058,0.3215,0.0674,0.1631,0.1978,0.0001,0.0001,0.0706,0.1594,0.02,13783,13095,0.202435312,100617.13196,47139.5,85.0800018310547,3.34999990463256,84126.0,
City Colleges of Chicago-Kennedy-King College,Chicago,IL,60621-2709,,,,,,1.0,0.0648,0.6216,0.0496,1363.0,0.4622,0.5378,0.4924,0.0286,0.7029,0.2128,0.0044,0.0,0.0007,0.0337,0.0103,0.0066,5000,4625,0.4984481688,16136.605712,11938,91.3099975585937,8.72999954223632,11525.0,
City Colleges of Chicago-Malcolm X College,Chicago,IL,60612-3197,,,,,,1.0,0.0239,0.544,0.0091,5533.0,0.2031,0.7969,0.4154,0.0577,0.3515,0.5258,0.0277,0.002,0.0004,0.0202,0.0112,0.0036,6000,6465,0.5630908344,19490.603719,16011,84.3899993896484,8.73999977111816,10277.0,
City Colleges of Chicago-Olive-Harvey College,Chicago,IL,60628-1696,,,,,,1.0,0.0404,0.6145,0.0259,1137.0,0.4204,0.5796,0.4364,0.0229,0.7133,0.212,0.0018,0.0,0.0,0.0343,0.0062,0.0097,5276,4500,0.4693877551,17479.72956,13886,93.3899993896484,8.27999973297119,12355.0,
City Colleges of Chicago-Harry S Truman College,Chicago,IL,60640-6063,,,,,,1.0,0.0249,0.4653,0.0037,2247.0,0.3845,0.6155,0.6454,0.1504,0.2701,0.4068,0.0997,0.0031,0.0004,0.0356,0.0258,0.008,6500,4000,0.5097774781,19163.622179,15204,69.5400009155273,5.51000022888183,10218.0,
City Colleges of Chicago-Richard J Daley College,Chicago,IL,60652-1299,,,,,,1.0,0.0068,0.4462,0.0062,2261.0,0.5524,0.4476,0.4832,0.0969,0.1411,0.7364,0.0044,0.0,0.0009,0.0142,0.0035,0.0027,PS,PS,0.6125,23583.256993,20263.5,81,7.40999984741211,9310.0,
City Colleges of Chicago-Harold Washington College,Chicago,IL,60601-2449,,,,,,1.0,0.0211,0.4806,0.011,3980.0,0.4113,0.5887,0.2511,0.0917,0.2523,0.5136,0.0724,0.0005,0.0013,0.0296,0.0314,0.0073,4466,5075,0.5486866543,21889.802937,18168,81.6999969482422,7.63000011444091,9955.0,
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,60634-1500,,,,,,1.0,0.0115,0.4624,0.0039,4324.0,0.5012,0.4988,0.3758,0.1832,0.0756,0.6223,0.0747,0.0012,0.0005,0.0287,0.012,0.0019,4328,4500,0.5730337079,25237.791326,21884.5,66.5400009155273,5.32000017166137,9537.0,
Columbia College Chicago,Chicago,IL,60605-1996,0.94766913387871,3.0,,,,2.0,0.5858,0.4074,0.5613,6378.0,0.3973,0.6027,0.0675,0.4398,0.1703,0.2584,0.035,0.0009,0.0009,0.0497,0.0348,0.0102,15750,17750,0.2494863516,72793.009147,49117,86.5400009155273,3.75,45611.0,
Concordia University-Chicago,River Forest,IL,60305-1499,0.93040037243947,3.0,,,,2.0,0.6357,0.4631,0.6607,1285.0,0.4661,0.5339,0.1871,0.4304,0.1206,0.3494,0.0233,0.0039,0.0023,0.0537,0.0039,0.0125,14000,14232,0.3850063532,61554.384961,46286,85.7200012207031,3.77999997138977,44022.0,
Danville Area Community College,Danville,IL,61832-5118,,,,,,1.0,0.0443,0.394,0.0337,1192.0,0.4069,0.5931,0.31,0.6133,0.2307,0.0587,0.0159,0.0034,0.0,0.0,0.0,0.078,3563,4500,0.4930467762,30167.052687,22360,97.3399963378906,4.34999990463256,10151.0,
Tricoci University of Beauty Culture,Urbana,IL,61801,,,,,,1.0,0.6745,0.6226,0.9167,142.0,0.0352,0.9648,0.3955,0.4437,0.3944,0.0986,0.007,0.0,0.0,0.0493,0.007,0.0,7307,7307,0.487654321,25612.690722,15211.5,95.5699996948242,3.83999991416931,,21308.0
DePaul University,Chicago,IL,60604,0.70165172251061,5.0,1221.0,24.0,30.0,2.0,0.4741,0.3177,0.4897,13968.0,0.4504,0.5496,0.1198,0.482,0.075,0.2319,0.1206,0.0007,0.0005,0.0437,0.0296,0.016,19500,19000,0.3023514164,74921.306181,48556,81.8499984741211,3.53999996185302,57824.0,
Cosmetology & Spa Academy,Crystal Lake,IL,60014,,,,,,1.0,0.5945,0.5162,0.7078,359.0,0.2591,0.7409,0.3601,0.3092,0.1393,0.507,0.0195,0.0,0.0,0.0223,0.0,0.0028,7917,7917,0.5874125874,36872.893939,23464.5,90.7600021362304,2.72000002861022,,21505.0
College of DuPage,Glen Ellyn,IL,60137-6599,,,,,,1.0,0.1186,0.292,0.1886,14402.0,0.4665,0.5335,0.3004,0.4438,0.0808,0.2809,0.1104,0.0022,0.0,0.0314,0.0149,0.0356,5500,5500,0.4260813428,39037.433758,28617.5,84.3600006103515,2.84999990463256,14057.0,
East-West University,Chicago,IL,60605,,,,,,1.0,0.7105,0.7906,0.7323,529.0,0.4991,0.5009,0.1561,0.0208,0.3743,0.3667,0.0076,0.0132,0.0019,0.0208,0.1871,0.0076,6667,14870,0.5393939394,21083.018349,14812,85.6100006103515,7.96000003814697,29168.0,
Eastern Illinois University,Charleston,IL,61920,0.67964433701657,5.0,1000.0,,,2.0,0.5433,0.4649,0.6174,4586.0,0.3868,0.6132,0.115,0.5578,0.2098,0.1001,0.012,0.0024,0.0011,0.034,0.0266,0.0563,15750,15419,0.3421643467,55212.99919,39153,93.0800018310547,3.22000002861023,25334.0,
Elgin Community College,Elgin,IL,60123-7193,,,,,,1.0,0.0537,0.3083,0.0373,6271.0,0.4717,0.5283,0.286,0.391,0.0431,0.4055,0.0729,0.0077,0.0002,0.0439,0.0116,0.0242,4722,5179,0.5215794307,36903.13539,28006,81.9000015258789,3.30999994277954,8671.0,
Elmhurst University,Elmhurst,IL,60126-3296,0.76007677543186,5.0,1107.0,20.0,27.0,2.0,0.5474,0.3805,0.5547,2897.0,0.3856,0.6144,0.0961,0.4867,0.0525,0.282,0.0766,0.0017,0.001,0.0287,0.0328,0.038,15250,14000,0.351910828,68003.76402,49618,83.7900009155273,2.96000003814697,51455.0,
Eureka College,Eureka,IL,61530,0.86723768736616,5.0,,,,2.0,0.6795,0.4679,0.7563,544.0,0.5423,0.4577,0.0672,0.7022,0.125,0.0846,0.0037,0.0129,0.0018,0.0202,0.011,0.0386,15375,15000,0.3415977961,71418.571788,59797,96.1999969482422,3.11999988555908,38968.0,
First Institute of Travel Inc.,Crystal Lake,IL,60014,,,,,,1.0,0.6102,0.5375,0.4983,274.0,0.0693,0.9307,0.3958,0.2664,0.1022,0.5839,0.0292,0.0073,0.0,0.0,0.0,0.0109,8360,5500,0.5963636364,31549.760736,20383.5,88.9499969482422,2.85999989509582,,23624.0
Fox College,Tinley Park,IL,60477,0.69841269841269,3.0,,,,2.0,0.8149,0.4091,0.875,252.0,0.1349,0.8651,0.3766,0.4841,0.1667,0.2778,0.0278,0.004,0.004,0.0159,0.0,0.0198,13623,15791,0.4252427184,49339.666102,27396.5,78.870002746582,5.34999990463256,20119.0,
Garrett-Evangelical Theological Seminary,Evanston,IL,60201-3298,,,,,,,,,,,,,,,,,,,,,,,PS,PS,,,,88.7600021362304,3.69000005722045,,
Gem City College,Quincy,IL,62301,,,,,,1.0,0.6825,0.5238,0.5417,41.0,0.2439,0.7561,0.5,0.9024,0.0976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PS,PS,PS,27522.97561,21620,97.5299987792969,3.31999993324279,,15374.0
Governors State University,University Park,IL,60484,0.57479892761394,5.0,945.0,,,2.0,0.4092,0.5353,0.4603,2589.0,0.3681,0.6319,0.4588,0.2951,0.3998,0.1935,0.0236,0.0023,0.0008,0.0348,0.0182,0.0321,14000,13750,0.4261943103,31855.490267,20792,92.4899978637695,4.61999988555908,20901.0,
Graham Hospital School of Nursing,Canton,IL,61520-2497,1.0,3.0,,,,2.0,0.4615,0.7308,0.0,43.0,0.0465,0.9535,0.5962,0.8837,0.093,0.0,0.0,0.0,0.0,0.0233,0.0,0.0,PS,PS,PS,47840.058824,41876,97.8899993896484,4.01999998092651,,
Greenville University,Greenville,IL,62246,0.94117647058823,5.0,1003.0,15.0,28.0,2.0,0.6134,0.4069,0.6117,902.0,0.5355,0.4645,0.1034,0.5976,0.1308,0.0732,0.0033,0.0022,0.0022,0.031,0.1441,0.0155,15000,15000,0.3112701252,62611.993174,53084,96.2200012207031,3.21000003814697,43239.0,
G Skin & Beauty Institute,Schaumburg,IL,60195,,,,,,1.0,0.4185,0.4148,0.7174,378.0,0.0185,0.9815,0.552,0.3651,0.1508,0.3413,0.0741,0.0106,0.0106,0.0476,0.0,0.0,6333,6333,0.503875969,39089.747475,26073,86.8399963378906,3.02999997138977,,23003.0
Hair Professionals Career College,Sycamore,IL,60178,,,,,,1.0,0.39,0.44,0.7778,62.0,0.0,1.0,0.2267,0.4839,0.2258,0.1935,0.0,0.0161,0.0161,0.0484,0.0,0.0161,PS,PS,0.3880597015,35206.025641,20771,93.4800033569336,3.25,,22991.0
Hair Professionals School of Cosmetology,Oswego,IL,60543,,,,,,1.0,0.4645,0.4903,0.7778,97.0,0.0103,0.9897,0.307,0.4227,0.0825,0.3711,0.0206,0.0,0.0103,0.0825,0.0103,0.0,PS,PS,0.5432098765,34266.9,24346,89.4300003051757,2.79999995231628,,19711.0
Hebrew Theological College,Skokie,IL,60077,0.71428571428571,5.0,,,,2.0,0.2439,0.3049,0.0,73.0,0.2055,0.7945,0.0353,0.9452,0.0,0.0274,0.0,0.0,0.0,0.0,0.0274,0.0,PS,PS,PS,50317.151515,39414,74.5999984741211,3.78999996185302,21196.0,
Highland Community College,Freeport,IL,61032-9341,,,,,,1.0,0.0855,0.4684,0.0219,791.0,0.3856,0.6144,0.2269,0.7332,0.1188,0.0569,0.0114,0.0025,0.0038,0.0316,0.0253,0.0164,5500,5500,0.4835616438,32027.755344,24244.5,97.5,4.03000020980835,11650.0,
Rosalind Franklin University of Medicine and Science,North Chicago,IL,60064-3095,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,17419.757576,10865.5,84,3.36999988555908,,
University of Illinois Chicago,Chicago,IL,60607,0.78690263984381,5.0,1232.0,24.0,30.0,2.0,0.2647,0.5017,0.202,21567.0,0.4675,0.5325,0.0909,0.2336,0.0759,0.3632,0.2106,0.0004,0.0002,0.0296,0.0694,0.0172,13000,15000,0.4439779965,47402.620789,33725.5,79.1299972534179,3.88000011444091,24375.0,
Benedictine University,Lisle,IL,60532-0900,0.9311726147123,5.0,,,,2.0,0.5416,0.4321,0.674,2026.0,0.5267,0.4733,0.1309,0.4161,0.0864,0.1856,0.1836,0.0079,0.0025,0.0212,0.0222,0.0745,17500,18000,0.3431952663,64085.528805,47021,87.4000015258789,3.16000008583068,46422.0,
Illinois College of Optometry,Chicago,IL,60616-3878,,,,,,,,,,,,,,,,,,,,,,,,,PS,PS,PS,87.5400009155273,2.92000007629394,,
University of Illinois Urbana-Champaign,Champaign,IL,61820-5711,0.4482349779471,5.0,1440.0,29.0,34.0,2.0,0.3063,0.2551,0.3226,34031.0,0.5335,0.4665,0.0134,0.3932,0.0591,0.1377,0.2222,0.0003,0.0003,0.0361,0.1395,0.0114,15650,17500,0.2493020998,86138.030069,62485,87.5100021362304,3.14000010490417,31636.0,
Illinois Wesleyan University,Bloomington,IL,61702-2900,0.42218693284936,5.0,1263.0,25.0,30.0,2.0,0.6476,0.2461,0.679,1518.0,0.5125,0.4875,0.0067,0.691,0.0731,0.0916,0.0711,0.0013,0.0013,0.0217,0.0428,0.0059,23250,22750,0.1772575251,111976.91558,98014,89.7099990844726,2.90000009536743,66835.0,
Illinois Central College,East Peoria,IL,61635-0001,,,,,,1.0,0.096,0.3385,0.0949,4630.0,0.4009,0.5991,0.2427,0.6983,0.1432,0.0661,0.0175,0.0017,0.0011,0.0505,0.019,0.0026,5500,5500,0.4263653484,36851.991484,25917,97.4000015258789,3.54999995231628,16348.0,
Illinois College,Jacksonville,IL,62650-2299,0.77181621954979,5.0,1076.0,21.0,26.0,2.0,0.8831,0.3989,0.8675,1011.0,0.4698,0.5302,0.0583,0.7141,0.087,0.1009,0.0089,0.002,0.0,0.0297,0.0445,0.0129,12490,19500,0.3109756098,67598.44592,59194,96.7200012207031,3.21000003814697,46023.0,
Olney Central College,Olney,IL,62450,,,,,,1.0,0.1179,0.4821,0.0822,587.0,0.4174,0.5826,0.2107,0.8842,0.0221,0.0358,0.0153,0.0068,0.0034,0.0221,0.0,0.0102,5250,5500,0.4083333333,34202.099237,27680,98.7799987792969,3.6800000667572,13005.0,
Illinois Institute of Technology,Chicago,IL,60616,0.61438630401767,5.0,1328.0,28.0,32.0,2.0,0.3729,0.3007,0.4228,2877.0,0.6722,0.3278,0.0951,0.3629,0.0494,0.2117,0.1693,0.0,0.0007,0.0403,0.1463,0.0195,20687,20750,0.3223767383,60579.291053,39719,83.7300033569336,3.41000008583068,67233.0,
Illinois State University,Normal,IL,61790-1000,0.86236987140232,5.0,1111.0,21.0,27.0,2.0,0.4618,0.3042,0.4683,18019.0,0.4353,0.5647,0.0412,0.6859,0.1052,0.1295,0.0265,0.0011,0.0004,0.0392,0.007,0.0052,16500,15012,0.2964350118,80963.026275,67099.5,91.620002746582,3.20000004768371,32151.0,
Illinois Valley Community College,Oglesby,IL,61348-9692,,,,,,1.0,0.034,0.3778,0.0313,1808.0,0.4497,0.5503,0.2429,0.7124,0.0293,0.193,0.0083,0.0028,0.0011,0.0194,0.0,0.0337,6500,7970,0.5065989848,32248.392825,23884,96.7099990844726,3.38000011444091,11225.0,
Institute for Clinical Social Work,Chicago,IL,60640-1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John A Logan College,Carterville,IL,62918-2500,,,,,,1.0,0.0,0.3644,0.0,2067.0,0.4083,0.5917,0.2268,0.7489,0.1151,0.0348,0.0087,0.0063,0.0019,0.0174,0.0019,0.0648,PS,PS,0.4346210996,20380.570159,16215,96.2399978637695,4.36999988555908,11937.0,
John Wood Community College,Quincy,IL,62305-8736,,,,,,1.0,0.2029,0.5197,0.1751,1330.0,0.3699,0.6301,0.2859,0.8579,0.0459,0.0278,0.0098,0.0038,0.003,0.0368,0.0,0.015,5500,5500,0.4661432777,37691.910917,28951,98.4899978637695,3.32999992370605,12456.0,
Joliet Junior College,Joliet,IL,60431-8938,,,,,,1.0,0.0505,0.266,0.0469,8520.0,0.4385,0.5615,0.2297,0.5254,0.0928,0.294,0.0298,0.0029,0.0002,0.03,0.0018,0.023,5500,5852,0.4684061616,37693.06075,28008,92.4300003051757,3.60999989509582,9151.0,
Judson University,Elgin,IL,60123-1498,0.58196010407632,5.0,1032.0,16.0,26.0,2.0,0.571,0.3326,0.6436,781.0,0.5045,0.4955,0.25,0.3585,0.114,0.3739,0.0179,0.0013,0.0026,0.0128,0.0615,0.0576,13219,15615,0.3562753036,60705.377897,45084,89.5,3.13000011444091,39201.0,
